diacritic,pronunciation,label,values,triggers,weight
null_1,null,nominalizer,set(),set(),40.99999999999964
la_1,la,definite,"{'+definite', '+atomic'}",set(),12.000000000000002
a_1,a,atomic,{'+atomic'},set(),78.3
null_2,null,nominalizer,{'la_1'},set(),10.0
null_3,null,nominalizer,{'la_1'},"{('a', frozenset({'+atomic'}))}",10.0
MILKCOW_1,MILKCOW,MILKCOW,set(),set(),9.100000000000005
MILKCOW_2,MILKCOW,MILKCOW,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.900000000000002
CAR_1,CAR,CAR,set(),set(),10.900000000000004
CAR_2,CAR,CAR,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.600000000000003
le_1,le,definite,"{'+definite', '-atomic'}",set(),12.800000000000002
l_1,l,definite,{'+definite'},set(),261.2999999999934
a_2,a,Agr,{'+atomic'},set(),131.1999999999984
e_1,e,Agr,{'-atomic'},set(),70.40000000000029
e_2,e,atomic,{'-atomic'},set(),27.90000000000004
null_4,null,nominalizer,{'e_1'},set(),17.700000000000003
null_5,null,nominalizer,{'e_1'},"{('e', frozenset({'-atomic'}))}",14.599999999999987
MOTHER_1,MOTHER,MOTHER,set(),set(),10.800000000000002
MOTHER_2,MOTHER,MOTHER,set(),"{('null', frozenset()), ('e', frozenset({'-atomic'}))}",10.800000000000002
li_1,li,definite,"{'+definite', '-atomic'}",set(),11.900000000000002
i_1,i,Agr,{'-atomic'},set(),76.59999999999991
i_2,i,atomic,{'-atomic'},set(),32.90000000000005
null_6,null,nominalizer,{'i_1'},set(),14.800000000000006
null_7,null,nominalizer,{'i_1'},"{('i', frozenset({'-atomic'}))}",10.799999999999999
CLOWN_1,CLOWN,CLOWN,set(),set(),10.100000000000003
CLOWN_2,CLOWN,CLOWN,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",9.500000000000002
null_8,null,nominalizer,{'a_2'},set(),25.69999999999991
null_9,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",12.400000000000004
una_1,una,definite,"{'+atomic', '-definite'}",set(),11.100000000000001
un_1,un,definite,{'-definite'},set(),117.59999999999843
null_10,null,nominalizer,"{'e_1', 'a_2'}",set(),15.699999999999996
null_11,null,nominalizer,"{'e_1', 'a_2'}","{('a', frozenset({'+atomic'}))}",11.6
MOTHER_3,MOTHER,MOTHER,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.200000000000003
MOTHER_4,MOTHER,MOTHER,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'})), ('e', frozenset({'-atomic'}))}",13.300000000000002
POTATO_1,POTATO,POTATO,set(),set(),9.600000000000003
POTATO_2,POTATO,POTATO,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.100000000000001
e_3,e,atomic,{'+atomic'},set(),16.000000000000004
null_12,null,nominalizer,{'a_2'},"{('e', frozenset({'+atomic'}))}",9.300000000000004
TOWER_1,TOWER,TOWER,set(),set(),10.100000000000001
TOWER_2,TOWER,TOWER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",10.3
lo_1,lo,definite,"{'+definite', '+atomic'}",set(),11.500000000000002
o_1,o,Agr,{'+atomic'},set(),111.19999999999845
o_2,o,atomic,{'+atomic'},set(),46.500000000000114
null_13,null,nominalizer,"{'i_1', 'o_1'}",set(),13.299999999999999
null_14,null,nominalizer,"{'i_1', 'o_1'}","{('o', frozenset({'+atomic'}))}",10.499999999999998
CLOWN_3,CLOWN,CLOWN,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",12.000000000000004
CLOWN_4,CLOWN,CLOWN,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.100000000000003
uno_1,uno,definite,"{'+atomic', '-definite'}",set(),10.900000000000002
null_15,null,nominalizer,{'o_1'},set(),15.600000000000012
null_16,null,nominalizer,{'o_1'},"{('o', frozenset({'+atomic'}))}",10.799999999999999
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),9.8
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.0
HORSE_1,HORSE,HORSE,set(),set(),9.900000000000002
HORSE_2,HORSE,HORSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",12.800000000000002
MOUSE_1,MOUSE,MOUSE,set(),set(),8.600000000000005
MOUSE_2,MOUSE,MOUSE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.100000000000001
WOLF_1,WOLF,WOLF,set(),set(),8.900000000000006
WOLF_2,WOLF,WOLF,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.400000000000004
null_17,null,nominalizer,"{'i_1', 'o_1'}","{('i', frozenset({'-atomic'}))}",10.499999999999998
HORSE_3,HORSE,HORSE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.800000000000002
HORSE_4,HORSE,HORSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",12.400000000000002
ANCHOR_1,ANCHOR,ANCHOR,set(),set(),10.600000000000003
ANCHOR_2,ANCHOR,ANCHOR,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.900000000000002
BALL_1,BALL,BALL,set(),set(),11.500000000000002
BALL_2,BALL,BALL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.300000000000002
MOUSE_3,MOUSE,MOUSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.700000000000003
MOUSE_4,MOUSE,MOUSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.700000000000003
OFFSPRING_1,OFFSPRING,OFFSPRING,set(),set(),9.8
