diacritic,pronunciation,label,values,triggers,weight
le_1,le,definite,"{'-atomic', '+definite'}",set(),9.700000000000001
i_1,i,atomic,{'-atomic'},set(),9.300000000000002
null_1,null,nominalizer,{'le_1'},set(),10.0
null_2,null,nominalizer,{'le_1'},"{('i', frozenset({'-atomic'}))}",10.2
SHIP_1,SHIP,SHIP,set(),set(),10.0
SHIP_2,SHIP,SHIP,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",9.700000000000001
lo_1,lo,definite,"{'+definite', '+atomic'}",set(),9.500000000000002
l_1,l,definite,{'+definite'},set(),43.70000000000037
e_1,e,Agr,{'-atomic'},set(),18.400000000000013
o_1,o,Agr,{'+atomic'},set(),23.500000000000085
o_2,o,atomic,{'+atomic'},set(),8.900000000000004
null_3,null,nominalizer,{'o_1'},set(),9.9
null_4,null,nominalizer,{'o_1'},"{('o', frozenset({'+atomic'}))}",10.1
BOOK_1,BOOK,BOOK,set(),set(),9.8
BOOK_2,BOOK,BOOK,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",9.9
una_1,una,definite,"{'-definite', '+atomic'}",set(),9.700000000000001
a_1,a,atomic,{'+atomic'},set(),8.700000000000005
null_5,null,nominalizer,{'una_1'},set(),10.0
null_6,null,nominalizer,{'una_1'},"{('a', frozenset({'+atomic'}))}",10.0
BALL_1,BALL,BALL,set(),set(),9.700000000000001
BALL_2,BALL,BALL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.1
la_1,la,definite,"{'+definite', '+atomic'}",set(),9.700000000000001
a_2,a,Agr,{'+atomic'},set(),23.300000000000082
un_1,un,definite,{'-definite'},set(),21.900000000000063
null_7,null,nominalizer,{'a_2'},set(),9.200000000000003
null_8,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",9.600000000000001
ANCHOR_1,ANCHOR,ANCHOR,set(),set(),9.700000000000001
