diacritic,pronunciation,label,values,triggers,weight
null_1,null,nominalizer,set(),set(),131.70000000000334
la_1,la,definite,"{'+atomic', '+definite'}",set(),15.600000000000005
a_1,a,atomic,{'+atomic'},set(),415.7000000000023
null_2,null,nominalizer,{'la_1'},set(),10.0
null_3,null,nominalizer,{'la_1'},"{('a', frozenset({'+atomic'}))}",11.5
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),10.400000000000002
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.500000000000002
li_1,li,definite,"{'+definite', '-atomic'}",set(),11.900000000000002
l_1,l,definite,{'+definite'},set(),1378.8999999998844
a_2,a,Agr,{'+atomic'},set(),720.1000000000435
i_1,i,Agr,{'-atomic'},set(),317.60000000000366
i_2,i,atomic,{'-atomic'},set(),37.50000000000008
null_4,null,nominalizer,{'i_1'},set(),29.20000000000011
null_5,null,nominalizer,{'i_1'},"{('i', frozenset({'-atomic'}))}",20.900000000000055
BOOK_1,BOOK,BOOK,set(),set(),10.3
BOOK_2,BOOK,BOOK,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.3
null_6,null,nominalizer,{'a_2'},set(),77.00000000000043
null_7,null,nominalizer,{'a_2'},"{('a', frozenset({'+atomic'}))}",24.099999999999984
BALL_1,BALL,BALL,set(),set(),14.700000000000008
BALL_2,BALL,BALL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",18.200000000000003
DIFFERENCE_1,DIFFERENCE,DIFFERENCE,set(),set(),10.0
DIFFERENCE_2,DIFFERENCE,DIFFERENCE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
lo_1,lo,definite,"{'+atomic', '+definite'}",set(),11.200000000000006
o_1,o,Agr,{'+atomic'},set(),513.3000000000401
e_1,e,atomic,{'+atomic'},set(),53.100000000000094
null_8,null,nominalizer,{'o_1'},set(),31.899999999999917
null_9,null,nominalizer,{'o_1'},"{('e', frozenset({'+atomic'}))}",9.900000000000006
BALLOON_1,BALLOON,BALLOON,set(),set(),9.300000000000002
BALLOON_2,BALLOON,BALLOON,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.4
o_2,o,atomic,{'+atomic'},set(),143.89999999999867
null_10,null,nominalizer,{'o_1'},"{('o', frozenset({'+atomic'}))}",11.800000000000006
TABLE_1,TABLE,TABLE,set(),set(),10.4
TABLE_2,TABLE,TABLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.600000000000001
una_1,una,definite,"{'+atomic', '-definite'}",set(),14.200000000000001
un_1,un,definite,{'-definite'},set(),496.3000000000345
BALLDIM_1,BALLDIM,BALLDIM,set(),set(),10.000000000000005
BALLDIM_2,BALLDIM,BALLDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.700000000000003
