diacritic,pronunciation,label,values,triggers,weight
la_1,la,definite,"{'+definite', '+atomic'}",set(),19.800000000000033
a_1,a,atomic,{'+atomic'},set(),45.500000000000064
null_1,null,nominalizer,set(),set(),39.2999999999998
null_2,null,nominalizer,set(),"{('a', frozenset({'+atomic'}))}",10.800000000000002
FROG_1,FROG,FROG,set(),set(),11.3
FROG_2,FROG,FROG,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",12.000000000000002
lo_1,lo,definite,"{'+definite', '+atomic'}",set(),19.70000000000003
o_1,o,atomic,{'+atomic'},set(),36.10000000000007
null_3,null,nominalizer,set(),"{('o', frozenset({'+atomic'}))}",10.500000000000002
CASTLE_1,CASTLE,CASTLE,set(),set(),10.8
CASTLE_2,CASTLE,CASTLE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",13.700000000000003
le_1,le,definite,"{'+definite', '-atomic'}",set(),19.300000000000026
l_1,l,definite,{'+definite'},set(),172.69999999999715
a_2,a,Agr,{'+atomic'},set(),49.30000000000026
e_1,e,Agr,{'-atomic'},set(),16.29999999999999
o_2,o,Agr,{'+atomic'},set(),60.50000000000043
i_1,i,atomic,{'-atomic'},set(),44.80000000000007
null_4,null,nominalizer,set(),"{('i', frozenset({'-atomic'}))}",10.000000000000002
KEY_1,KEY,KEY,set(),set(),9.500000000000002
KEY_2,KEY,KEY,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",12.4
uno_1,uno,definite,"{'-definite', '+atomic', '-feminine'}",set(),10.0
un_1,un,definite,"{'-definite', '-feminine'}",set(),29.30000000000015
null_5,null,nominalizer,{'-feminine'},set(),27.799999999999958
null_6,null,nominalizer,{'-feminine'},"{('o', frozenset({'+atomic'}))}",20.00000000000003
GRANDPARENT_1,GRANDPARENT,GRANDPARENT,set(),set(),10.900000000000002
GRANDPARENT_2,GRANDPARENT,GRANDPARENT,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",9.500000000000002
null_7,null,nominalizer,{'-feminine'},"{('i', frozenset({'-atomic'}))}",20.00000000000004
null_8,null,nominalizer,{'-feminine'},"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'}))}",21.100000000000048
la_2,la,definite,"{'+feminine', '+definite', '+atomic'}",set(),10.5
null_9,null,nominalizer,{'+feminine'},set(),37.69999999999999
null_10,null,nominalizer,{'+feminine'},"{('a', frozenset({'+atomic'}))}",22.300000000000075
GRANDPARENT_3,GRANDPARENT,GRANDPARENT,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",9.200000000000003
CHILD_1,CHILD,CHILD,set(),set(),10.300000000000002
CHILD_2,CHILD,CHILD,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.900000000000002
uno_2,uno,definite,"{'-definite', '+atomic'}",set(),18.400000000000013
un_2,un,definite,{'-definite'},set(),53.100000000000286
MOUSE_1,MOUSE,MOUSE,set(),set(),10.600000000000001
MOUSE_2,MOUSE,MOUSE,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.8
una_1,una,definite,"{'+feminine', '-definite', '+atomic'}",set(),10.0
un_3,un,definite,"{'+feminine', '-definite'}",set(),32.20000000000017
un_4,un,definite,"{'-definite', '+atomic'}",set(),41.40000000000029
o_3,o,Agr,{'-feminine'},set(),37.50000000000019
a_3,a,Agr,{'+feminine'},set(),37.70000000000016
a_4,a,Agr,"{'+feminine', '+atomic'}",set(),41.80000000000019
MILKCOW_1,MILKCOW,MILKCOW,set(),set(),11.600000000000001
MILKCOW_2,MILKCOW,MILKCOW,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.300000000000002
li_1,li,definite,"{'+definite', '-atomic', '-feminine'}",set(),10.0
i_2,i,Agr,"{'-atomic', '-feminine'}",set(),47.60000000000033
l_2,l,definite,"{'+definite', '-atomic'}",set(),39.90000000000031
i_3,i,Agr,{'-feminine'},set(),35.400000000000155
GRANDPARENT_4,GRANDPARENT,GRANDPARENT,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.200000000000001
GRANDPARENT_5,GRANDPARENT,GRANDPARENT,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.200000000000003
GRANDPARENT_6,GRANDPARENT,GRANDPARENT,set(),"{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",10.800000000000002
OFFSPRING_1,OFFSPRING,OFFSPRING,set(),set(),10.100000000000001
OFFSPRING_2,OFFSPRING,OFFSPRING,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.300000000000002
le_2,le,definite,"{'+feminine', '+definite', '-atomic'}",set(),10.0
e_2,e,Agr,"{'+feminine', '-atomic'}",set(),34.40000000000018
e_3,e,atomic,{'-atomic'},set(),26.80000000000002
null_11,null,nominalizer,{'+feminine'},"{('e', frozenset({'-atomic'}))}",20.100000000000037
MILKCOW_3,MILKCOW,MILKCOW,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.100000000000001
MILKCOW_4,MILKCOW,MILKCOW,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",11.600000000000001
PIBLING_1,PIBLING,PIBLING,set(),set(),11.8
PIBLING_2,PIBLING,PIBLING,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",12.300000000000002
PIBLING_3,PIBLING,PIBLING,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.500000000000002
PIBLING_4,PIBLING,PIBLING,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",10.400000000000002
lo_2,lo,definite,"{'+definite', '+atomic', '-feminine'}",set(),10.0
l_3,l,definite,"{'+definite', '+atomic'}",set(),22.500000000000064
OFFSPRING_3,OFFSPRING,OFFSPRING,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.700000000000001
OFFSPRING_4,OFFSPRING,OFFSPRING,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.600000000000001
e_4,e,Agr,{'+feminine'},set(),21.900000000000034
l_4,l,definite,"{'+definite', '-feminine'}",set(),30.300000000000168
i_4,i,Agr,{'-atomic'},set(),25.400000000000066
CLOWN_1,CLOWN,CLOWN,set(),set(),10.500000000000002
CLOWN_2,CLOWN,CLOWN,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",9.800000000000002
PIBLING_5,PIBLING,PIBLING,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.3
PIBLING_6,PIBLING,PIBLING,set(),"{('e', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.500000000000002
e_5,e,atomic,{'+atomic'},set(),32.10000000000003
null_12,null,nominalizer,set(),"{('e', frozenset({'+atomic'}))}",12.700000000000001
FOOT_1,FOOT,FOOT,set(),set(),10.300000000000002
FOOT_2,FOOT,FOOT,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",11.9
li_2,li,definite,"{'+definite', '-atomic'}",set(),19.100000000000023
FLOWER_1,FLOWER,FLOWER,set(),set(),11.200000000000001
FLOWER_2,FLOWER,FLOWER,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.8
CHILD_3,CHILD,CHILD,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",9.400000000000002
MOUSE_3,MOUSE,MOUSE,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",12.500000000000002
MOUSE_4,MOUSE,MOUSE,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",10.600000000000001
una_2,una,definite,"{'-definite', '+atomic'}",set(),18.500000000000014
l_5,l,definite,"{'+feminine', '+definite'}",set(),10.2
KEY_3,KEY,KEY,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",10.8
KEY_4,KEY,KEY,set(),"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",12.500000000000002
null_13,null,nominalizer,{'-feminine'},"{('e', frozenset({'+atomic'}))}",18.600000000000016
FLOWER_3,FLOWER,FLOWER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",11.000000000000002
FLOWER_4,FLOWER,FLOWER,set(),"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",14.200000000000001
OFFSPRING_5,OFFSPRING,OFFSPRING,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",10.400000000000002
OFFSPRING_6,OFFSPRING,OFFSPRING,set(),"{('i', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",10.900000000000002
null_14,null,nominalizer,set(),"{('e', frozenset({'-atomic'}))}",10.700000000000003
FROG_3,FROG,FROG,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.3
FROG_4,FROG,FROG,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",13.200000000000001
BALL_1,BALL,BALL,set(),set(),11.200000000000001
BALL_2,BALL,BALL,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",12.3
null_15,null,nominalizer,{'-feminine'},"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",19.10000000000002
BALL_3,BALL,BALL,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.4
BALL_4,BALL,BALL,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",13.9
CHILD_4,CHILD,CHILD,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.000000000000004
CHILD_5,CHILD,CHILD,set(),"{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",10.100000000000001
CHILD_6,CHILD,CHILD,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",10.700000000000001
CHILD_7,CHILD,CHILD,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",9.700000000000001
CHILD_8,CHILD,CHILD,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",9.800000000000002
CHILD_9,CHILD,CHILD,set(),"{('e', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.700000000000001
PIBLING_7,PIBLING,PIBLING,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.400000000000002
PIBLING_8,PIBLING,PIBLING,set(),"{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",10.700000000000001
PIBLING_9,PIBLING,PIBLING,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.700000000000001
CAR_1,CAR,CAR,set(),set(),9.700000000000003
CAR_2,CAR,CAR,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.700000000000001
BOOK_1,BOOK,BOOK,set(),set(),10.500000000000002
BOOK_2,BOOK,BOOK,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.800000000000002
FOOT_3,FOOT,FOOT,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.400000000000002
FOOT_4,FOOT,FOOT,set(),"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",12.200000000000001
CLOWN_3,CLOWN,CLOWN,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",10.200000000000001
CLOWN_4,CLOWN,CLOWN,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",13.100000000000001
CAR_3,CAR,CAR,set(),"{('a', frozenset({'+atomic'})), ('null', frozenset())}",12.3
CAR_4,CAR,CAR,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",12.100000000000001
BOOK_3,BOOK,BOOK,set(),"{('o', frozenset({'+atomic'})), ('null', frozenset())}",12.0
BOOK_4,BOOK,BOOK,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",12.4
null_16,null,nominalizer,{'+feminine'},"{('e', frozenset({'+atomic'}))}",18.500000000000014
null_17,null,nominalizer,{'+feminine'},"{('a', frozenset({'+atomic'})), ('e', frozenset({'-atomic'}))}",20.900000000000034
TOWER_1,TOWER,TOWER,set(),set(),11.500000000000002
TOWER_2,TOWER,TOWER,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.100000000000001
TOWER_3,TOWER,TOWER,set(),"{('e', frozenset({'+atomic'})), ('null', frozenset())}",12.3
TOWER_4,TOWER,TOWER,set(),"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'})), ('null', frozenset())}",12.3
null_18,null,nominalizer,{'+feminine'},"{('e', frozenset({'+atomic'})), ('e', frozenset({'-atomic'}))}",19.700000000000024
OFFSPRING_7,OFFSPRING,OFFSPRING,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.200000000000003
OFFSPRING_8,OFFSPRING,OFFSPRING,set(),"{('e', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",10.100000000000001
OFFSPRING_9,OFFSPRING,OFFSPRING,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",10.700000000000001
null_19,null,nominalizer,{'+feminine'},"{('i', frozenset({'-atomic'}))}",17.900000000000006
GRANDPARENT_7,GRANDPARENT,GRANDPARENT,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.000000000000002
GRANDPARENT_8,GRANDPARENT,GRANDPARENT,set(),"{('e', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",9.600000000000001
GRANDPARENT_9,GRANDPARENT,GRANDPARENT,set(),"{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'})), ('null', frozenset())}",10.200000000000001
null_20,null,nominalizer,{'+feminine'},"{('e', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",17.800000000000004
CASTLE_3,CASTLE,CASTLE,set(),"{('i', frozenset({'-atomic'})), ('null', frozenset())}",10.100000000000001
CASTLE_4,CASTLE,CASTLE,set(),"{('i', frozenset({'-atomic'})), ('o', frozenset({'+atomic'})), ('null', frozenset())}",10.200000000000001
null_21,null,nominalizer,{'-feminine'},"{('a', frozenset({'+atomic'}))}",15.69999999999998
null_22,null,nominalizer,{'-feminine'},"{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",16.599999999999987
null_23,null,nominalizer,{'+feminine'},"{('a', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",17.900000000000006
